No.,日付,時間,投稿文,ハッシュタグ,画像プロンプト(英語),投稿タイプ,備考
69,4/24(金),22:00,"ねえ、歳上の人ってなんで気持ちに気づくの？
私いつも鈍感すぎて自分から言えないタイプなんだけど…笑
みんなはどうやって伝えてる？
こっそり教えて///
noteも更新してます

#裏アカ #歳上さんが好き",#裏アカ #歳上さんが好き,"selfie-style photo of a 23-year-old Japanese woman standing on a train station platform at night, slight downward angle, wearing a soft muted pink spring coat over a white blouse, warm station lights and blurred train schedule board in background, relaxed relieved Friday night expression, slight breeze in her hair, photorealistic hyperdetailed ultra realistic",ファン向け,木曜夜・フォロワーに問いかける参加型。返信もらいやすい構成。note誘導を末尾に添える。
70,4/25(土),07:30,"休日の朝って何もしない贅沢だよね☕
布団でぬくぬくしながらパン食べて、テレビつけっぱ。
このゆるい時間がたまらなく好き。
朝のきもち、noteにつらつら書いてみたよ〜

#休日 #朝時間 #OL #裏アカOL",#休日 #朝時間 #OL #裏アカOL,,ファン向け,休日朝ののんびりした雰囲気を活かし、ファン向けのnote誘導も自然に組み込んだ。孤独感より『ゆったりとした心地よさ』を前面に。
71,4/25(土),12:30,"裏アカ始めてから、素直に言葉にできるようになった気がする。

ひとりで抱えてたもの、ここでなら出せるっていうか。

見てくれてる人がいるって思ったより嬉しくて///

ありがとね、ほんとに。

#裏アカ #OL日常",#裏アカ #OL日常,,ファン向け,日曜朝・裏アカ始めた理由をにおわせる感情系。のんびりした朝の投稿として自然。
72,4/25(土),22:00,"歳上さんにひとつ聞きたいんだけど…

疲れたとき、どうやって気持ち切り替えてる？

まだ2年目で全然うまくできなくて💦
よかったらこっそり教えてほしいな

#歳上さんが好き #裏アカ",#歳上さんが好き #裏アカ,"selfie-style photo of a 23-year-old Japanese woman standing in front of her open closet, slight downward angle, holding up a hanger with a spring outfit, wearing a simple white long-sleeve top and light-colored skirt, warm bedroom lighting, Saturday night relaxed at home, clothes and hangers visible in background, photorealistic hyperdetailed ultra realistic",ファン向け,平日深夜・歳上へのお悩み投げかけ。リプ誘致型で交流を増やす狙い。5月の疲れが出る時期に有効。
73,4/26(日),07:30,"GW暇すぎて、note気合い入れて書いちゃった。
ちょっとだけ大胆にしたかも///
見てくれたら正直めちゃくちゃ嬉しい。
よかったら覗いてね？

#裏アカOL #note",#裏アカOL #note,,ファン向け,GW中の午後。暇なフォロワーがSNSを見る時間帯。note更新報告として投稿。
74,4/26(日),12:30,"「いつも見てるよ」ってDM届いてて。
名前も知らない誰かなのに、じんってきちゃった///
顔も声も知らないのに伝わるものってあるんだね。
ありがとう、届いてるよ。

#裏アカ #OL",#裏アカ #OL,,ファン向け,水曜夕方・DM感謝ツイート。親密感を高める投稿。4月中旬の帰宅ラッシュ時間帯に合わせる。
75,4/26(日),22:00,"最近やっと気づいたんだけど、がんばりすぎると続かない笑

だから自分にちょっとだけ甘くしてる。
5月のnote、今までより素直に書けそうで楽しみ。
いつも見てくれてる人、ほんとにありがとう///

#裏アカ #note #ありがとう #自分のペース #日曜夜 #つぶやき",#裏アカ #note #ありがとう #自分のペース #日曜夜 #つぶやき,"selfie-style photo of a 23-year-old Japanese woman sitting on a park bench at night, slight downward angle, wearing a cream-colored knit cardigan over a soft pink top, gentle streetlamp casting warm light, trees with fresh spring leaves in the background, peaceful contemplative expression, Sunday night quiet moment alone, photorealistic hyperdetailed ultra realistic",ファン向け,5月のまったり休日昼。note更新報告＋自己開示で共感を生む。
76,4/27(月),07:30,"歳上さんの「どこにも行かないよ」って空気感、ずるいよね…
私なんでこういうの弱いんだろ。
うまく言えないけど、ずっとそばにいてほしいって思っちゃうの///

#歳上さんが好き #裏アカ",#歳上さんが好き #裏アカ,,ファン向け,4月・桜の季節の夜。父を失った喪失感をにおわせる感情系。深くなりすぎないよう「///」で緩和。
77,4/27(月),12:30,"月曜のランチって同期としゃべるだけで救われるよね🍙
今日も変なこと言い出して吹き出しちゃった///
さ、午後は会議か…
こういう小さい幸せで乗り切るしかないっしょ笑

#月曜日 #OL #ランチタイム #同期 #仕事頑張る #裏垢女子",#月曜日 #OL #ランチタイム #同期 #仕事頑張る #裏垢女子,,ファン向け,平日昼間の息抜き感を出しつつ、仕事モードへの切り替えも表現
78,4/27(月),22:00,"noteに春コーデのやつ一枚だけ載せたよ📷
自撮りだからちょっと恥ずかしいけど…
お風呂上がりとかじゃないのでご安心を笑
気になる人だけこっそり見てね？

#裏アカ #note",#裏アカ #note,"selfie-style photo of a 23-year-old Japanese woman taking a mirror selfie in her bedroom, slight downward angle, wearing a light lavender spring knit top tucked into a beige midi skirt, shy embarrassed smile, warm room lighting, tidy bedroom visible in mirror reflection, Monday night casual spring outfit check, photorealistic hyperdetailed ultra realistic",ファン向け,4月夜・グラビア系に踏み込みすぎない軽めのnote誘導。「お風呂上がりじゃない」の一言で期待を緩くコントロール。
79,4/28(火),07:30,"連休最終日のソワソワ感、みんなも同じだよね？
明日から仕事かぁ…って思いつつ一日ごろごろしちゃった笑
見てくれてるあなたも今日一日おつかれさま🌙
また明日からがんばろ～

#OL日常 #裏アカOL",#OL日常 #裏アカOL,,ファン向け,GW最終日の夜。あるある共感＋フォロワーへのねぎらいで好感度UP。
80,4/28(火),12:30,"フォロワーさん増えてて、お昼にこっそり通知見ちゃった…
ちゃんと見てくれてる人がいるんだって思うとドキドキする///
もっと素直になれるように、noteも続けてみるね。

#裏アカ #note",#裏アカ #note,,ファン向け,深夜・フォロワー増加マイルストーンに合わせて投稿。裏アカ初々しさとnote誘導を自然につなぐ。
